country_code,year,haq_interpolated
CHE,1996,83.80000000000001
CHE,1997,84.2
CHE,1998,84.60000000000001
CHE,1999,85.0
CHE,2000,85.4
CHE,2001,85.96000000000001
CHE,2002,86.52000000000001
CHE,2003,87.08
CHE,2004,87.64
CHE,2005,88.2
CHE,2006,88.58
CHE,2007,88.96
CHE,2008,89.34
CHE,2009,89.72
CHE,2010,90.1
CHE,2011,90.44
CHE,2012,90.78
CHE,2013,91.11999999999999
CHE,2014,91.46
CHE,2015,91.8
CHL,1990,58.8
CHL,1991,59.879999999999995
CHL,1992,60.96
CHL,1993,62.04
CHL,1994,63.120000000000005
CHL,1995,64.2
CHL,1996,65.2
CHL,1997,66.2
CHL,1998,67.2
CHL,1999,68.2
CHL,2000,69.2
CHL,2001,69.76
CHL,2002,70.32000000000001
CHL,2003,70.88
CHL,2004,71.44
CHL,2005,72.0
CHL,2006,72.38
CHL,2007,72.76
CHL,2008,73.14
CHL,2009,73.52000000000001
CHL,2010,73.9
CHL,2011,74.32000000000001
CHL,2012,74.74000000000001
CHL,2013,75.16
CHL,2014,75.58
CHL,2015,76.0
CHN,1990,49.5
CHN,1991,50.34
CHN,1992,51.18
CHN,1993,52.02
CHN,1994,52.86
CHN,1995,53.7
CHN,1996,54.52
CHN,1997,55.34
CHN,1998,56.16
CHN,1999,56.98
CHN,2000,57.8
CHN,2001,58.98
CHN,2002,60.16
CHN,2003,61.34
CHN,2004,62.52
CHN,2005,63.7
CHN,2006,64.94
CHN,2007,66.18
CHN,2008,67.42
CHN,2009,68.66000000000001
CHN,2010,69.9
CHN,2011,70.76
CHN,2012,71.62
CHN,2013,72.48
CHN,2014,73.34
CHN,2015,74.2
CIV,1990,35.5
CIV,1991,35.04
CIV,1992,34.58
CIV,1993,34.120000000000005
CIV,1994,33.660000000000004
CIV,1995,33.2
CIV,1996,33.440000000000005
CIV,1997,33.68
CIV,1998,33.92
CIV,1999,34.16
CIV,2000,34.4
CIV,2001,35.04
CIV,2002,35.68
CIV,2003,36.32
CIV,2004,36.96
CIV,2005,37.6
CIV,2006,38.22
CIV,2007,38.84
CIV,2008,39.46
CIV,2009,40.080000000000005
CIV,2010,40.7
CIV,2011,41.04
CIV,2012,41.38
CIV,2013,41.72
CIV,2014,42.06
CIV,2015,42.4
CMR,1990,38.3
CMR,1991,38.18
CMR,1992,38.06
CMR,1993,37.94
CMR,1994,37.82
CMR,1995,37.7
CMR,1996,37.6
CMR,1997,37.5
CMR,1998,37.400000000000006
CMR,1999,37.300000000000004
CMR,2000,37.2
CMR,2001,37.96
CMR,2002,38.72
CMR,2003,39.480000000000004
CMR,2004,40.24
CMR,2005,41.0
CMR,2006,41.3
CMR,2007,41.6
CMR,2008,41.9
CMR,2009,42.2
CMR,2010,42.5
CMR,2011,42.88
CMR,2012,43.26
CMR,2013,43.64
CMR,2014,44.019999999999996
CMR,2015,44.4
COD,1990,35.6
COD,1991,35.7
COD,1992,35.800000000000004
COD,1993,35.9
COD,1994,36.0
COD,1995,36.1
COD,1996,36.120000000000005
COD,1997,36.14
COD,1998,36.160000000000004
COD,1999,36.18
COD,2000,36.2
COD,2001,36.580000000000005
COD,2002,36.96
COD,2003,37.34
COD,2004,37.72
COD,2005,38.1
COD,2006,38.34
COD,2007,38.58
COD,2008,38.82
COD,2009,39.059999999999995
COD,2010,39.3
COD,2011,39.519999999999996
COD,2012,39.739999999999995
COD,2013,39.96
COD,2014,40.18
COD,2015,40.4
COG,1990,32.2
COG,1991,32.04
COG,1992,31.880000000000003
COG,1993,31.72
COG,1994,31.56
COG,1995,31.4
COG,1996,31.779999999999998
COG,1997,32.16
COG,1998,32.54
COG,1999,32.919999999999995
COG,2000,33.3
COG,2001,34.5
COG,2002,35.699999999999996
COG,2003,36.9
COG,2004,38.099999999999994
COG,2005,39.3
COG,2006,39.68
COG,2007,40.06
COG,2008,40.44
COG,2009,40.82
COG,2010,41.2
COG,2011,41.660000000000004
COG,2012,42.120000000000005
COG,2013,42.58
COG,2014,43.04
COG,2015,43.5
COL,1990,51.1
COL,1991,51.86
COL,1992,52.62
COL,1993,53.38
COL,1994,54.14
COL,1995,54.9
COL,1996,55.6
COL,1997,56.3
COL,1998,57.0
COL,1999,57.699999999999996
COL,2000,58.4
COL,2001,59.04
COL,2002,59.68
COL,2003,60.32
COL,2004,60.96
COL,2005,61.6
COL,2006,62.160000000000004
COL,2007,62.720000000000006
COL,2008,63.28
COL,2009,63.84
COL,2010,64.4
COL,2011,65.08
COL,2012,65.76
COL,2013,66.44
COL,2014,67.12
COL,2015,67.8
COM,1990,32.7
COM,1991,33.02
COM,1992,33.34
COM,1993,33.66
COM,1994,33.98
COM,1995,34.3
COM,1996,35.12
COM,1997,35.94
COM,1998,36.76
COM,1999,37.58
COM,2000,38.4
COM,2001,39.54
COM,2002,40.68
COM,2003,41.82
COM,2004,42.96
COM,2005,44.1
COM,2006,44.72
COM,2007,45.34
COM,2008,45.96
COM,2009,46.580000000000005
COM,2010,47.2
COM,2011,47.300000000000004
COM,2012,47.400000000000006
COM,2013,47.5
COM,2014,47.6
COM,2015,47.7
CPV,1990,50.1
CPV,1991,49.94
CPV,1992,49.78
CPV,1993,49.62
CPV,1994,49.46
CPV,1995,49.3
CPV,1996,49.599999999999994
CPV,1997,49.9
CPV,1998,50.199999999999996
CPV,1999,50.5
CPV,2000,50.8
CPV,2001,51.379999999999995
CPV,2002,51.96
CPV,2003,52.54
CPV,2004,53.120000000000005
CPV,2005,53.7
CPV,2006,54.54
CPV,2007,55.38
CPV,2008,56.22
CPV,2009,57.06
CPV,2010,57.9
CPV,2011,58.66
CPV,2012,59.42
CPV,2013,60.18
CPV,2014,60.940000000000005
CPV,2015,61.7
CRI,1990,62.1
CRI,1991,62.24
CRI,1992,62.38
CRI,1993,62.519999999999996
CRI,1994,62.66
CRI,1995,62.8
CRI,1996,63.32
CRI,1997,63.84
CRI,1998,64.36
CRI,1999,64.88000000000001
CRI,2000,65.4
CRI,2001,66.04
CRI,2002,66.68
CRI,2003,67.32
CRI,2004,67.96
CRI,2005,68.6
CRI,2006,69.03999999999999
CRI,2007,69.47999999999999
CRI,2008,69.92
CRI,2009,70.36
CRI,2010,70.8
CRI,2011,71.22
CRI,2012,71.64
CRI,2013,72.06
CRI,2014,72.48
CRI,2015,72.9
CUB,1990,64.1
CUB,1991,64.32
CUB,1992,64.53999999999999
CUB,1993,64.76
CUB,1994,64.98
CUB,1995,65.2
CUB,1996,65.7
CUB,1997,66.2
CUB,1998,66.7
CUB,1999,67.2
CUB,2000,67.7
CUB,2001,68.26
CUB,2002,68.82000000000001
CUB,2003,69.38
CUB,2004,69.94
CUB,2005,70.5
CUB,2006,70.82
CUB,2007,71.14
CUB,2008,71.46
CUB,2009,71.78
CUB,2010,72.1
CUB,2011,72.38
CUB,2012,72.66
CUB,2013,72.94
CUB,2014,73.22
CUB,2015,73.5
CYP,1990,72.0
CYP,1991,72.28
CYP,1992,72.56
CYP,1993,72.84
CYP,1994,73.12
CYP,1995,73.4
CYP,1996,74.0
CYP,1997,74.60000000000001
CYP,1998,75.2
CYP,1999,75.80000000000001
CYP,2000,76.4
CYP,2001,76.96000000000001
CYP,2002,77.52000000000001
CYP,2003,78.08
CYP,2004,78.64
CYP,2005,79.2
CYP,2006,79.88
CYP,2007,80.56
CYP,2008,81.24
CYP,2009,81.92
CYP,2010,82.6
CYP,2011,83.14
CYP,2012,83.67999999999999
CYP,2013,84.22
CYP,2014,84.75999999999999
CYP,2015,85.3
CZE,1990,68.3
CZE,1991,69.28
CZE,1992,70.26
CZE,1993,71.24
CZE,1994,72.22
CZE,1995,73.2
CZE,1996,73.98
CZE,1997,74.76
CZE,1998,75.53999999999999
CZE,1999,76.32
CZE,2000,77.1
CZE,2001,77.52
CZE,2002,77.94
CZE,2003,78.36
CZE,2004,78.78
CZE,2005,79.2
CZE,2006,79.72
CZE,2007,80.24
CZE,2008,80.76
CZE,2009,81.28
CZE,2010,81.8
CZE,2011,82.39999999999999
CZE,2012,83.0
CZE,2013,83.6
CZE,2014,84.2
CZE,2015,84.8
DEU,1990,73.1
DEU,1991,73.89999999999999
DEU,1992,74.69999999999999
DEU,1993,75.5
DEU,1994,76.3
DEU,1995,77.1
DEU,1996,77.8
DEU,1997,78.5
DEU,1998,79.19999999999999
DEU,1999,79.89999999999999
DEU,2000,80.6
DEU,2001,81.11999999999999
DEU,2002,81.64
DEU,2003,82.16
DEU,2004,82.68
DEU,2005,83.2
DEU,2006,83.54
DEU,2007,83.88000000000001
DEU,2008,84.22
DEU,2009,84.56
DEU,2010,84.9
DEU,2011,85.2
DEU,2012,85.5
DEU,2013,85.80000000000001
DEU,2014,86.10000000000001
DEU,2015,86.4
DJI,1990,38.9
DJI,1991,38.879999999999995
DJI,1992,38.86
DJI,1993,38.839999999999996
DJI,1994,38.82
DJI,1995,38.8
DJI,1996,38.919999999999995
DJI,1997,39.04
DJI,1998,39.16
DJI,1999,39.28
DJI,2000,39.4
DJI,2001,39.699999999999996
DJI,2002,40.0
DJI,2003,40.3
